2350	43	0
4260	45	0
2540	13	1
2850	25	0
3370	30	0
2380	31	0
2240	29	1
4880	30	0
4750	37	0
2740	20	1
4790	26	0
4010	41	0
3810	26	0
2870	14	0
2030	20	1
3720	47	0
4040	11	0
2090	31	0
2930	43	0
3860	33	0
2710	32	0
4710	42	0
2420	13	1
3920	33	0
3580	46	0
2510	11	1
4760	24	0
2610	12	1
1630	37	1
3140	50	0
1680	25	1
4800	16	0
4300	11	0
2850	19	0
1920	47	0
1600	40	1
2220	45	0
3580	46	0
3830	34	0
2240	30	0
4380	45	0
4480	34	0
2150	23	0
2980	44	0
3190	29	0
3820	35	0
1960	23	1
1630	37	1
3670	30	0
4550	25	0
3510	50	0
2510	14	1
2000	45	0
3680	14	0
3370	19	0
3390	10	0
3710	39	0
1660	39	1
3420	46	0
2270	37	0
4610	41	0
1980	20	1
1920	34	1
4610	36	0
1870	41	1
2200	12	1
3540	50	0
4470	19	0
3940	20	0
4330	50	0
4300	13	0
2090	31	1
2680	43	0
2330	12	1
2990	15	1
4590	50	0
3730	34	0
1570	18	1
2050	16	1
1860	10	1
4080	30	0
4910	15	0
4250	41	0
3630	39	0
2420	49	0
2250	18	1
2220	22	0
3990	50	0
2430	39	0
2330	21	1
1780	44	0
2670	23	1
2050	21	1
3750	16	0
4470	20	0
3700	12	0
3230	47	0
2550	48	0
4120	31	0
2980	40	0
